Date,open,Close,adjusted_close
01-09-2019,2259.600098,2099.300049,1931.435669
01-10-2019,2095.949951,2269.649902,2088.164307
01-11-2019,2264,2053.25,1926.728516
01-12-2019,2060,2161.699951,2028.496094
01-01-2020,2168,2079.050049,1950.938843
01-02-2020,2079.5,2000.150024,1881.162964
01-03-2020,2035,1826.099976,1717.466797
01-04-2020,1825.900024,2014.449951,1908.454956
01-05-2020,2014.449951,1972.349976,1868.570068
01-06-2020,1990,2082.149902,1972.592407
01-07-2020,2079.699951,2281.399902,2167.711914
01-08-2020,2290.449951,2257.25,2149.576172
01-09-2020,2269,2492.300049,2373.414551
01-10-2020,2510,2664.850098,2537.734131
01-11-2020,2660,2679.649902,2562.707275
01-12-2020,2679,2862.75,2737.81665
01-01-2021,2880,3111.350098,2975.567383
01-02-2021,3100,2894.300049,2773.257568
01-03-2021,2926,3177.850098,3044.949219
01-04-2021,3191.100098,3035.649902,2908.695801
01-05-2021,3024.899902,3159.149902,3027.031006
01-06-2021,3168.600098,3345.75,3221.508545
01-07-2021,3358,3167.449951,3049.829834
01-08-2021,3180,3786.449951,3653.800049
01-09-2021,3796,3775.550049,3643.282227
01-10-2021,3781.75,3397.75,3278.717285
01-11-2021,3437.949951,3529.149902,3412.048584
01-12-2021,3535,3738.350098,3614.307129
01-01-2022,3750,3736.25,3612.276611
01-02-2022,3770,3554.199951,3442.30542
01-03-2022,3554.199951,3739.949951,3622.20752
01-04-2022,3748,3546.699951,3435.041504
01-05-2022,3519.899902,3364.350098,3258.432373
01-06-2022,3388,3267.100098,3185.558594
01-07-2022,3260,3301.899902,3219.489746
01-08-2022,3327,3211.149902,3139.269775
01-09-2022,3190,3004.550049,2937.294434
01-10-2022,2995,3193.149902,3121.672363
01-11-2022,3214.5,3390.800049,3323.477539
01-12-2022,3425,3256.699951,3192.039795
01-01-2023,3261,3358.699951,3292.014648
01-02-2023,3363,3312.850098,3312.850098
01-03-2023,3323,3205.899902,3205.899902
01-04-2023,3224.949951,3219.25,3219.25
01-05-2023,3219.25,3289.5,3289.5
01-06-2023,null,null,null
