Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,1749.300049,1840.000000,1683.400024,1790.750000,1789.672607,48873449
2022-05-01,1765.550049,1951.750000,1743.000000,1846.849976,1845.738770,83790481
2022-06-01,1840.000000,1880.099976,1631.000000,1661.099976,1660.100586,50570384
2022-07-01,1645.000000,1856.900024,1636.000000,1810.349976,1809.260742,59043690
2022-08-01,1815.000000,1942.449951,1811.300049,1915.449951,1914.297485,52750573
2022-09-01,1875.000000,1987.199951,1757.699951,1819.199951,1819.199951,59445888
2022-10-01,1808.000000,1925.000000,1773.300049,1901.949951,1901.949951,36171519
2022-11-01,1908.000000,1997.550049,1871.650024,1947.050049,1947.050049,50451725
2022-12-01,1955.000000,1961.750000,1794.199951,1827.250000,1827.250000,65172324
2023-01-01,1827.800049,1836.500000,1683.849976,1731.000000,1731.000000,72830120
2023-02-01,1745.000000,1803.900024,1687.750000,1729.250000,1729.250000,54834762
2023-03-01,1729.250000,1765.000000,1643.500000,1732.849976,1732.849976,108237742
2023-04-01,1734.000000,1943.300049,1733.199951,1938.050049,1938.050049,61942376
2023-05-01,1938.050049,2064.399902,1890.000000,2014.349976,2014.349976,175500746
2023-06-01,1968.000000,1979.150024,1922.250000,1939.400024,1939.400024,19144668
