Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,41.969696,49.242424,41.000000,46.666664,39.434048,433869084
2017-02-01,46.960606,48.122726,45.400002,45.927273,38.809258,401851593
2017-03-01,45.969696,50.454544,45.039394,47.500000,40.215157,352695526
2017-04-01,48.242424,55.909088,47.939392,55.439392,47.205132,331218274
2017-05-01,55.439392,56.636364,50.151516,52.318180,44.547504,205095072
2017-06-01,52.545452,53.621212,47.757576,48.954544,41.683464,238879810
2017-07-01,49.318180,54.393940,48.803028,54.166664,46.121433,244087055
2017-08-01,56.045452,59.000000,48.818180,57.575756,49.024185,279088205
2017-09-01,57.818180,60.348484,52.757576,54.266666,46.491810,235458913
2017-10-01,54.266666,64.133331,53.416664,61.533333,52.717384,234947208
2017-11-01,61.983334,64.466667,58.049999,61.933334,53.060070,259740588
2017-12-01,62.266666,63.150002,57.333332,60.716667,52.017715,177337194
2018-01-01,61.000000,61.733334,55.666664,56.450001,48.362335,300275964
2018-02-01,56.666664,57.066666,46.666664,51.450001,44.078697,429696675
2018-03-01,51.616665,52.650002,46.016666,47.150002,40.808407,215886051
2018-04-01,47.599998,49.716667,43.500000,43.733334,37.851265,262462896
2018-05-01,43.733334,44.283333,37.466667,38.133331,33.004463,314877939
2018-06-01,38.000000,40.750000,33.766666,36.216667,31.345585,356524836
2018-07-01,36.283333,39.883331,32.233334,38.783333,33.567039,575533158
2018-08-01,39.566666,41.466667,37.683334,37.833332,32.744816,489895920
2018-09-01,38.083332,38.500000,24.750000,26.766666,23.245691,1223544015
2018-10-01,26.850000,31.133333,24.933332,31.016666,26.936634,609130980
2018-11-01,31.116667,33.099998,27.583332,27.750000,24.099676,432493410
2018-12-01,28.049999,31.600000,25.000000,29.316666,25.460255,782862519
2019-01-01,29.466665,31.066666,26.350000,27.883333,24.215469,524298090
2019-02-01,28.049999,28.733334,24.166666,27.500000,23.882563,602360355
2019-03-01,27.666666,32.549999,27.666666,31.083332,27.094080,858307569
2019-04-01,31.266666,34.066666,28.433332,29.049999,26.095833,667644063
2019-05-01,29.049999,39.250000,28.533333,37.216667,33.432007,831313284
2019-06-01,37.333332,38.866665,34.983334,37.500000,33.686531,550254720
2019-07-01,37.750000,38.483334,30.716665,34.233334,30.752056,912726306
2019-08-01,33.783333,35.450001,30.400000,34.299999,30.811945,688247703
